SubwayStation,TimeToSubway,TimeToBusStop,N_FacilitiesNearBy(Hospital),N_FacilitiesNearBy(Dpartmentstore),N_FacilitiesNearBy(Park),N_FacilitiesNearBy(ETC),N_FacilitiesNearBy(PublicOffice),N_SchoolNearBy(University),N_Parkinglot(Basement),N_SchoolNearBy(Elementary),HallwayType,Floor,YearBuilt,N_FacilitiesInApt,HeatingType,AptManageType,Size(sqf),SalePrice
Banwoldang,0~5min,0~5min,2,2,1,0,2,2,524,2,terraced,13,2007,4,individual_heating,management_in_trust,914,283185
Myung-duk,0~5min,0~5min,1,0,0,5,7,5,1174,4,terraced,14,2014,9,individual_heating,management_in_trust,640,269026
Banwoldang,0~5min,0~5min,2,2,1,0,2,2,524,2,terraced,12,2007,4,individual_heating,management_in_trust,1419,277876
Kyungbuk-uni-hospital,0~5min,0~5min,1,1,1,0,5,3,930,4,terraced,29,2013,7,individual_heating,management_in_trust,910,255840
Kyungbuk-uni-hospital,0~5min,0~5min,1,2,2,0,3,2,1270,3,terraced,26,2007,10,individual_heating,management_in_trust,1643,353982
Kyungbuk-uni-hospital,10min~15min,0~5min,1,1,1,1,5,1,0,3,terraced,5,1986,4,central_heating,management_in_trust,2092,221238
Banwoldang,0~5min,0~5min,0,0,0,0,0,0,203,0,terraced,29,2014,10,individual_heating,management_in_trust,914,376106
Kyungbuk-uni-hospital,10min~15min,0~5min,1,1,1,1,5,1,0,3,terraced,12,1986,4,central_heating,management_in_trust,1796,238938
Kyungbuk-uni-hospital,10min~15min,5min~10min,1,1,0,1,2,2,184,3,terraced,9,2006,5,individual_heating,management_in_trust,910,216814
Bangoge,5min~10min,0~5min,2,0,0,5,5,4,798,3,mixed,12,2005,7,individual_heating,management_in_trust,572,73840
Sin-nam,0~5min,5min~10min,1,1,1,0,3,2,475,2,terraced,6,2008,8,individual_heating,management_in_trust,914,253982
Kyungbuk-uni-hospital,0~5min,0~5min,1,2,2,0,3,2,1270,3,terraced,9,2007,10,individual_heating,management_in_trust,868,209734
Sin-nam,0~5min,5min~10min,1,1,1,0,3,2,475,2,terraced,10,2008,8,individual_heating,management_in_trust,914,340707
Kyungbuk-uni-hospital,0~5min,0~5min,1,1,1,0,5,3,930,4,terraced,11,2013,7,individual_heating,management_in_trust,426,103663
Daegu,5min~10min,0~5min,1,2,1,2,5,0,76,2,corridor,9,1985,3,individual_heating,self_management,587,105309
Myung-duk,15min~20min,0~5min,2,0,0,5,6,5,536,4,mixed,15,1993,4,individual_heating,management_in_trust,914,135398
Myung-duk,15min~20min,0~5min,2,0,0,5,6,5,536,4,mixed,19,1993,4,individual_heating,management_in_trust,644,88495
Bangoge,5min~10min,0~5min,2,0,0,5,5,4,798,3,mixed,18,2005,7,individual_heating,management_in_trust,572,109734
Sin-nam,0~5min,0~5min,1,0,0,0,1,2,536,2,terraced,13,2006,5,individual_heating,management_in_trust,1149,279646
Kyungbuk-uni-hospital,10min~15min,0~5min,1,1,1,1,5,1,0,3,terraced,7,1986,4,central_heating,management_in_trust,1131,163716
Myung-duk,0~5min,0~5min,1,0,0,5,7,5,1174,4,terraced,11,2014,9,individual_heating,management_in_trust,640,261061
Sin-nam,0~5min,5min~10min,1,1,1,0,3,2,475,2,terraced,14,2008,8,individual_heating,management_in_trust,914,295575
Bangoge,5min~10min,0~5min,2,0,0,5,5,4,798,3,mixed,14,2005,7,individual_heating,management_in_trust,572,75088
Kyungbuk-uni-hospital,0~5min,0~5min,1,2,2,0,3,2,1270,3,terraced,19,2007,10,individual_heating,management_in_trust,1387,460176
Banwoldang,0~5min,0~5min,0,0,0,0,0,0,203,0,terraced,10,2014,10,individual_heating,management_in_trust,914,353982
Bangoge,5min~10min,0~5min,2,0,0,5,5,4,798,3,mixed,13,2005,7,individual_heating,management_in_trust,743,190707
Myung-duk,15min~20min,0~5min,2,0,0,5,6,5,536,4,mixed,16,1993,4,individual_heating,management_in_trust,914,134513
Kyungbuk-uni-hospital,0~5min,0~5min,1,2,2,0,3,2,1270,3,terraced,16,2007,10,individual_heating,management_in_trust,1928,566371
Myung-duk,10min~15min,5min~10min,1,1,1,5,7,5,0,4,corridor,10,1992,3,individual_heating,management_in_trust,640,119469
Myung-duk,0~5min,0~5min,1,0,0,5,7,5,1174,4,terraced,21,2014,9,individual_heating,management_in_trust,640,262831
Kyungbuk-uni-hospital,10min~15min,0~5min,1,1,1,1,5,1,0,3,terraced,9,1986,4,central_heating,management_in_trust,1131,178761
Banwoldang,0~5min,0~5min,2,2,1,0,2,2,524,2,terraced,18,2007,4,individual_heating,management_in_trust,1103,223008
Sin-nam,0~5min,5min~10min,1,1,1,0,3,2,475,2,terraced,12,2008,8,individual_heating,management_in_trust,829,230088
Bangoge,5min~10min,0~5min,2,0,0,5,5,4,798,3,mixed,5,2005,7,individual_heating,management_in_trust,572,196460
Daegu,5min~10min,0~5min,1,2,1,2,5,0,76,2,corridor,10,1985,3,individual_heating,self_management,587,59115
Myung-duk,0~5min,5min~10min,1,1,0,2,3,1,181,4,terraced,10,2006,4,individual_heating,management_in_trust,903,176991
no-subway-nearby,5min~10min,5min~10min,1,2,1,0,1,1,1321,2,terraced,2,2015,10,individual_heating,management_in_trust,910,353982
Kyungbuk-uni-hospital,0~5min,0~5min,1,2,2,0,3,2,1270,3,terraced,3,2007,10,individual_heating,management_in_trust,1387,436283
Bangoge,5min~10min,0~5min,2,0,0,5,5,4,798,3,mixed,17,2005,7,individual_heating,management_in_trust,914,197345
Myung-duk,15min~20min,0~5min,2,0,0,5,6,5,536,4,mixed,16,1993,4,individual_heating,management_in_trust,644,171681
Myung-duk,15min~20min,0~5min,2,0,0,5,6,5,536,4,mixed,4,1993,4,individual_heating,management_in_trust,644,83628
Myung-duk,15min~20min,0~5min,2,0,0,5,6,5,536,4,mixed,25,1993,4,individual_heating,management_in_trust,1451,218584
Myung-duk,10min~15min,5min~10min,1,1,1,5,7,5,0,4,corridor,13,1992,3,individual_heating,management_in_trust,355,39823
Myung-duk,15min~20min,0~5min,2,0,0,5,6,5,536,4,mixed,15,1993,4,individual_heating,management_in_trust,1761,318584
Kyungbuk-uni-hospital,0~5min,0~5min,2,1,0,0,3,2,0,3,corridor,1,1978,3,individual_heating,self_management,779,201769
Daegu,5min~10min,0~5min,2,1,0,0,3,2,400,3,terraced,11,2015,7,individual_heating,management_in_trust,644,254867
Kyungbuk-uni-hospital,0~5min,0~5min,1,2,2,0,3,2,1270,3,terraced,8,2007,10,individual_heating,management_in_trust,868,274336
Myung-duk,15min~20min,5min~10min,1,1,0,1,5,4,79,3,mixed,7,1992,3,individual_heating,self_management,644,122123
Kyungbuk-uni-hospital,0~5min,0~5min,1,2,2,0,3,2,1270,3,terraced,25,2007,10,individual_heating,management_in_trust,868,230088
Myung-duk,15min~20min,0~5min,2,0,0,5,6,5,536,4,mixed,25,1993,4,individual_heating,management_in_trust,1451,234513
Kyungbuk-uni-hospital,0~5min,0~5min,1,1,1,0,5,3,930,4,terraced,26,2013,7,individual_heating,management_in_trust,910,263345
Bangoge,5min~10min,0~5min,2,0,0,5,5,4,798,3,mixed,20,2005,7,individual_heating,management_in_trust,743,185840
Kyungbuk-uni-hospital,0~5min,0~5min,1,2,2,0,3,2,1270,3,terraced,12,2007,10,individual_heating,management_in_trust,1928,415929
Kyungbuk-uni-hospital,0~5min,0~5min,1,2,2,0,3,2,1270,3,terraced,28,2007,10,individual_heating,management_in_trust,1519,380530
Bangoge,5min~10min,0~5min,2,0,0,5,5,4,798,3,mixed,6,2005,7,individual_heating,management_in_trust,1184,309734
Myung-duk,15min~20min,0~5min,2,0,0,5,6,5,536,4,mixed,6,1993,4,individual_heating,management_in_trust,644,115486
Myung-duk,15min~20min,0~5min,2,0,0,5,6,5,536,4,mixed,4,1993,4,individual_heating,management_in_trust,644,132743
Sin-nam,0~5min,5min~10min,1,1,1,0,3,2,475,2,terraced,24,2008,8,individual_heating,management_in_trust,914,172566
Kyungbuk-uni-hospital,0~5min,0~5min,1,2,2,0,3,2,1270,3,terraced,20,2007,10,individual_heating,management_in_trust,868,349557
Myung-duk,10min~15min,5min~10min,1,1,1,5,7,5,0,4,corridor,15,1992,3,individual_heating,management_in_trust,640,146017
Myung-duk,10min~15min,5min~10min,1,1,1,5,7,5,0,4,corridor,1,1992,3,individual_heating,management_in_trust,355,86725
Kyungbuk-uni-hospital,0~5min,0~5min,1,2,2,0,3,2,1270,3,terraced,10,2007,10,individual_heating,management_in_trust,1928,445132
Bangoge,5min~10min,0~5min,2,0,0,5,5,4,798,3,mixed,9,2005,7,individual_heating,management_in_trust,572,147787
no-subway-nearby,no_bus_stop_nearby,0~5min,1,0,1,2,2,1,203,2,terraced,19,2009,5,individual_heating,management_in_trust,910,159292
Kyungbuk-uni-hospital,0~5min,0~5min,1,2,2,0,3,2,1270,3,terraced,4,2007,10,individual_heating,management_in_trust,868,223008
Myung-duk,15min~20min,0~5min,2,0,0,5,6,5,536,4,mixed,3,1993,4,individual_heating,management_in_trust,1288,309734
Sin-nam,5min~10min,0~5min,1,2,1,1,5,2,18,6,corridor,12,1986,3,individual_heating,management_in_trust,910,92920
Sin-nam,0~5min,0~5min,1,0,0,0,1,2,536,2,terraced,10,2006,5,individual_heating,management_in_trust,914,197345
Kyungbuk-uni-hospital,10min~15min,0~5min,1,1,1,1,5,1,0,3,terraced,5,1986,4,central_heating,management_in_trust,1131,176991
Myung-duk,15min~20min,0~5min,2,0,0,5,6,5,536,4,mixed,23,1993,4,individual_heating,management_in_trust,2337,314159
Bangoge,5min~10min,0~5min,2,0,0,5,5,4,798,3,mixed,10,2005,7,individual_heating,management_in_trust,743,243362
no-subway-nearby,5min~10min,5min~10min,1,2,1,0,1,1,1321,2,terraced,18,2015,10,individual_heating,management_in_trust,910,389380
Kyungbuk-uni-hospital,10min~15min,5min~10min,1,1,0,1,2,2,184,3,terraced,15,2006,5,individual_heating,management_in_trust,910,318584
Myung-duk,0~5min,5min~10min,1,1,0,2,3,1,181,4,terraced,5,2006,4,individual_heating,management_in_trust,903,265486
Kyungbuk-uni-hospital,10min~15min,0~5min,1,1,1,1,5,1,0,3,terraced,5,1986,4,central_heating,management_in_trust,1131,265486
Sin-nam,0~5min,5min~10min,1,1,1,0,3,2,475,2,terraced,13,2008,8,individual_heating,management_in_trust,1167,238938
Banwoldang,0~5min,0~5min,2,2,1,0,2,2,524,2,terraced,16,2007,4,individual_heating,management_in_trust,1366,260176
Myung-duk,0~5min,5min~10min,1,1,0,2,3,1,181,4,terraced,9,2006,4,individual_heating,management_in_trust,903,225663
no-subway-nearby,no_bus_stop_nearby,0~5min,1,0,1,2,2,1,203,2,terraced,8,2009,5,individual_heating,management_in_trust,910,194247
Sin-nam,0~5min,5min~10min,1,1,1,0,3,2,475,2,terraced,14,2008,8,individual_heating,management_in_trust,829,266814
Myung-duk,15min~20min,0~5min,2,0,0,5,6,5,536,4,mixed,3,1993,4,individual_heating,management_in_trust,644,157079
no-subway-nearby,5min~10min,5min~10min,1,2,1,0,1,1,1321,2,terraced,21,2015,10,individual_heating,management_in_trust,910,390707
Bangoge,5min~10min,0~5min,2,0,0,5,5,4,798,3,mixed,13,2005,7,individual_heating,management_in_trust,743,185840
Banwoldang,5min~10min,0~5min,1,2,1,0,3,2,108,2,corridor,14,2014,2,individual_heating,management_in_trust,213,81415
Chil-sung-market,15min~20min,5min~10min,1,2,1,1,7,3,56,4,mixed,15,1997,5,individual_heating,management_in_trust,644,92920
Myung-duk,15min~20min,0~5min,2,0,0,5,6,5,536,4,mixed,4,1993,4,individual_heating,management_in_trust,914,146902
Myung-duk,0~5min,0~5min,1,0,0,5,7,5,1174,4,terraced,7,2014,9,individual_heating,management_in_trust,640,256637
Kyungbuk-uni-hospital,10min~15min,0~5min,1,1,1,1,5,1,0,3,terraced,1,1986,4,central_heating,management_in_trust,1131,189380
Myung-duk,15min~20min,0~5min,2,0,0,5,6,5,536,4,mixed,1,1993,4,individual_heating,management_in_trust,644,113274
Bangoge,5min~10min,0~5min,2,0,0,5,5,4,798,3,mixed,19,2005,7,individual_heating,management_in_trust,743,137168
Bangoge,5min~10min,0~5min,2,0,0,5,5,4,798,3,mixed,16,2005,7,individual_heating,management_in_trust,914,175221
Sin-nam,0~5min,5min~10min,1,1,1,0,3,2,475,2,terraced,23,2008,8,individual_heating,management_in_trust,914,259292
Kyungbuk-uni-hospital,0~5min,0~5min,1,2,2,0,3,2,1270,3,terraced,25,2007,10,individual_heating,management_in_trust,1519,526548
Myung-duk,0~5min,0~5min,1,0,0,5,7,5,1174,4,terraced,9,2014,9,individual_heating,management_in_trust,640,246017
Kyungbuk-uni-hospital,0~5min,0~5min,1,1,1,0,5,3,930,4,terraced,17,2013,7,individual_heating,management_in_trust,910,327433
Myung-duk,15min~20min,5min~10min,1,1,0,1,5,4,79,3,mixed,19,1992,3,individual_heating,self_management,644,129646
Myung-duk,0~5min,0~5min,1,0,0,5,7,5,1174,4,terraced,21,2014,9,individual_heating,management_in_trust,910,358407
Myung-duk,0~5min,5min~10min,1,1,0,2,3,1,181,4,terraced,5,2006,4,individual_heating,management_in_trust,857,203539
Bangoge,5min~10min,0~5min,2,0,0,5,5,4,798,3,mixed,13,2005,7,individual_heating,management_in_trust,743,251327
Sin-nam,0~5min,0~5min,1,0,0,0,1,2,536,2,terraced,24,2006,5,individual_heating,management_in_trust,818,174336
Banwoldang,0~5min,0~5min,0,0,0,0,0,0,203,0,terraced,27,2014,10,individual_heating,management_in_trust,1256,469026
Daegu,5min~10min,0~5min,1,2,1,2,5,0,76,2,corridor,7,1985,3,individual_heating,self_management,587,60176
Sin-nam,0~5min,0~5min,1,0,0,0,1,2,536,2,terraced,12,2006,5,individual_heating,management_in_trust,1743,300884
Banwoldang,5min~10min,0~5min,1,2,1,0,3,2,108,2,corridor,13,2014,2,individual_heating,management_in_trust,288,104424
no-subway-nearby,5min~10min,5min~10min,1,2,1,0,1,1,1321,2,terraced,12,2015,10,individual_heating,management_in_trust,910,353982
Sin-nam,0~5min,0~5min,1,0,0,0,1,2,536,2,terraced,16,2006,5,individual_heating,management_in_trust,1743,377876
Banwoldang,0~5min,0~5min,2,2,1,0,2,2,524,2,terraced,13,2007,4,individual_heating,management_in_trust,914,252212
Banwoldang,0~5min,0~5min,1,2,1,0,4,1,605,2,terraced,8,2007,5,individual_heating,management_in_trust,1334,337168
Bangoge,5min~10min,0~5min,2,0,0,5,5,4,798,3,mixed,1,2005,7,individual_heating,management_in_trust,572,115044
Sin-nam,0~5min,0~5min,1,0,0,0,1,2,536,2,terraced,28,2006,5,individual_heating,management_in_trust,1149,287610
Kyungbuk-uni-hospital,0~5min,0~5min,1,1,1,0,5,3,930,4,terraced,8,2013,7,individual_heating,management_in_trust,910,250176
Kyungbuk-uni-hospital,0~5min,0~5min,2,1,0,0,3,2,0,3,corridor,2,1978,3,individual_heating,self_management,903,174336
Banwoldang,0~5min,0~5min,1,2,1,0,4,1,605,2,terraced,3,2007,5,individual_heating,management_in_trust,1629,307079
Kyungbuk-uni-hospital,0~5min,0~5min,1,1,1,0,5,3,930,4,terraced,17,2013,7,individual_heating,management_in_trust,644,149274
Banwoldang,0~5min,0~5min,2,2,1,0,2,2,524,2,terraced,13,2007,4,individual_heating,management_in_trust,1394,291238
Banwoldang,0~5min,0~5min,1,2,1,0,4,1,605,2,terraced,16,2007,5,individual_heating,management_in_trust,1483,398230
Myung-duk,15min~20min,0~5min,2,0,0,5,6,5,536,4,mixed,20,1993,4,individual_heating,management_in_trust,644,92035
Sin-nam,5min~10min,0~5min,1,2,1,1,5,2,18,6,corridor,9,1986,3,individual_heating,management_in_trust,508,105309
Banwoldang,0~5min,0~5min,1,2,1,0,4,1,605,2,terraced,26,2007,5,individual_heating,management_in_trust,1690,445132
Sin-nam,0~5min,0~5min,1,0,0,0,1,2,536,2,terraced,13,2006,5,individual_heating,management_in_trust,818,192035
no-subway-nearby,no_bus_stop_nearby,0~5min,1,0,1,2,2,1,203,2,terraced,3,2009,5,individual_heating,management_in_trust,1160,203539
no-subway-nearby,5min~10min,5min~10min,1,2,1,0,1,1,1321,2,terraced,18,2015,10,individual_heating,management_in_trust,914,384955
Myung-duk,15min~20min,0~5min,2,0,0,5,6,5,536,4,mixed,1,1993,4,individual_heating,management_in_trust,644,84070
Kyungbuk-uni-hospital,10min~15min,0~5min,1,1,1,1,5,1,0,3,terraced,7,1986,4,central_heating,management_in_trust,1131,168141
Kyungbuk-uni-hospital,0~5min,0~5min,1,2,2,0,3,2,1270,3,terraced,17,2007,10,individual_heating,management_in_trust,1928,411504
Kyungbuk-uni-hospital,10min~15min,0~5min,1,1,1,1,5,1,0,3,terraced,3,1986,4,central_heating,management_in_trust,1131,302654
Myung-duk,15min~20min,0~5min,2,0,0,5,6,5,536,4,mixed,2,1993,4,individual_heating,management_in_trust,914,178761
Myung-duk,10min~15min,5min~10min,1,1,1,5,7,5,0,4,corridor,4,1992,3,individual_heating,management_in_trust,576,82300
Kyungbuk-uni-hospital,10min~15min,0~5min,1,1,1,1,5,1,0,3,terraced,5,1986,4,central_heating,management_in_trust,1377,176991
Bangoge,5min~10min,0~5min,2,0,0,5,5,4,798,3,mixed,10,2005,7,individual_heating,management_in_trust,572,73840
Banwoldang,0~5min,0~5min,2,2,1,0,2,2,524,2,terraced,16,2007,4,individual_heating,management_in_trust,1103,215929
no-subway-nearby,no_bus_stop_nearby,0~5min,1,0,1,2,2,1,203,2,terraced,18,2009,5,individual_heating,management_in_trust,910,307964
Kyungbuk-uni-hospital,10min~15min,5min~10min,1,1,0,1,2,2,184,3,terraced,18,2006,5,individual_heating,management_in_trust,814,223008
Banwoldang,0~5min,0~5min,2,2,1,0,2,2,524,2,terraced,5,2007,4,individual_heating,management_in_trust,1366,277256
Bangoge,5min~10min,0~5min,2,0,0,5,5,4,798,3,mixed,23,2005,7,individual_heating,management_in_trust,914,150442
Kyungbuk-uni-hospital,0~5min,0~5min,1,2,2,0,3,2,1270,3,terraced,5,2007,10,individual_heating,management_in_trust,868,331858
Banwoldang,0~5min,0~5min,2,2,1,0,2,2,524,2,terraced,4,2007,4,individual_heating,management_in_trust,1366,277256
Myung-duk,0~5min,0~5min,1,0,0,5,7,5,1174,4,terraced,17,2014,9,individual_heating,management_in_trust,846,330973
Kyungbuk-uni-hospital,0~5min,0~5min,1,1,1,0,5,3,930,4,terraced,13,2013,7,individual_heating,management_in_trust,907,318584
Kyungbuk-uni-hospital,0~5min,0~5min,1,2,2,0,3,2,1270,3,terraced,4,2007,10,individual_heating,management_in_trust,868,309734
Myung-duk,10min~15min,5min~10min,1,1,1,5,7,5,0,4,corridor,15,1992,3,individual_heating,management_in_trust,355,37787
Myung-duk,0~5min,0~5min,1,0,0,5,7,5,1174,4,terraced,6,2014,9,individual_heating,management_in_trust,640,276106
Myung-duk,15min~20min,0~5min,2,0,0,5,6,5,536,4,mixed,15,1993,4,individual_heating,management_in_trust,914,132300
Banwoldang,0~5min,0~5min,2,2,1,0,2,2,524,2,terraced,12,2007,4,individual_heating,management_in_trust,914,218584
Banwoldang,0~5min,0~5min,2,2,1,0,2,2,524,2,terraced,21,2007,4,individual_heating,management_in_trust,1394,195575
Sin-nam,0~5min,0~5min,1,0,0,0,1,2,536,2,terraced,7,2006,5,individual_heating,management_in_trust,1149,243362
Myung-duk,10min~15min,5min~10min,1,1,1,5,7,5,0,4,corridor,1,1992,3,individual_heating,management_in_trust,640,66371
Myung-duk,0~5min,5min~10min,1,1,0,2,3,1,181,4,terraced,14,2006,4,individual_heating,management_in_trust,903,196460
Myung-duk,15min~20min,0~5min,2,0,0,5,6,5,536,4,mixed,11,1993,4,individual_heating,management_in_trust,914,161946
no-subway-nearby,no_bus_stop_nearby,0~5min,1,0,1,2,2,1,203,2,terraced,19,2009,5,individual_heating,management_in_trust,910,203646
Bangoge,5min~10min,0~5min,2,0,0,5,5,4,798,3,mixed,10,2005,7,individual_heating,management_in_trust,743,151327
Myung-duk,15min~20min,0~5min,2,0,0,5,6,5,536,4,mixed,13,1993,4,individual_heating,management_in_trust,1288,176991
Myung-duk,15min~20min,0~5min,2,0,0,5,6,5,536,4,mixed,16,1993,4,individual_heating,management_in_trust,914,203539
Banwoldang,0~5min,0~5min,1,2,1,0,4,1,605,2,terraced,24,2007,5,individual_heating,management_in_trust,1483,393805
Banwoldang,0~5min,0~5min,2,2,1,0,2,2,524,2,terraced,6,2007,4,individual_heating,management_in_trust,1103,286725
Myung-duk,15min~20min,0~5min,2,0,0,5,6,5,536,4,mixed,19,1993,4,individual_heating,management_in_trust,1451,181415
Myung-duk,15min~20min,5min~10min,1,1,0,1,5,4,79,3,mixed,16,1992,3,individual_heating,self_management,644,81858
Bangoge,5min~10min,0~5min,2,0,0,5,5,4,798,3,mixed,14,2005,7,individual_heating,management_in_trust,572,73840
Daegu,5min~10min,0~5min,1,2,1,2,5,0,76,2,corridor,8,1985,3,individual_heating,self_management,587,88495
Kyungbuk-uni-hospital,0~5min,0~5min,1,2,2,0,3,2,1270,3,terraced,43,2007,10,individual_heating,management_in_trust,1387,396460
no-subway-nearby,5min~10min,5min~10min,1,2,1,0,1,1,1321,2,terraced,7,2015,10,individual_heating,management_in_trust,1035,389380
Myung-duk,0~5min,5min~10min,1,1,0,2,3,1,181,4,terraced,10,2006,4,individual_heating,management_in_trust,903,203539
Kyungbuk-uni-hospital,10min~15min,0~5min,1,1,1,1,5,1,0,3,terraced,8,1986,4,central_heating,management_in_trust,914,232743
Myung-duk,10min~15min,5min~10min,1,1,1,5,7,5,0,4,corridor,13,1992,3,individual_heating,management_in_trust,355,79646
Kyungbuk-uni-hospital,0~5min,0~5min,1,1,1,0,5,3,930,4,terraced,11,2013,7,individual_heating,management_in_trust,910,250176
Sin-nam,0~5min,0~5min,1,0,0,0,1,2,536,2,terraced,2,2006,5,individual_heating,management_in_trust,818,194690
Sin-nam,0~5min,0~5min,1,0,0,0,1,2,536,2,terraced,29,2006,5,individual_heating,management_in_trust,1437,261061
Bangoge,5min~10min,0~5min,2,0,0,5,5,4,798,3,mixed,19,2005,7,individual_heating,management_in_trust,914,168761
no-subway-nearby,5min~10min,10min~15min,1,0,0,1,4,1,218,0,corridor,16,2014,1,individual_heating,self_management,156,60176
Kyungbuk-uni-hospital,0~5min,0~5min,1,1,1,0,5,3,930,4,terraced,14,2013,7,individual_heating,management_in_trust,644,147761
Bangoge,5min~10min,0~5min,2,0,0,5,5,4,798,3,mixed,21,2005,7,individual_heating,management_in_trust,743,205309
Sin-nam,0~5min,5min~10min,1,1,1,0,3,2,475,2,terraced,19,2008,8,individual_heating,management_in_trust,914,252212
Kyungbuk-uni-hospital,10min~15min,5min~10min,1,1,0,1,2,2,184,3,terraced,13,2006,5,individual_heating,management_in_trust,910,192920
Banwoldang,0~5min,0~5min,2,2,1,0,2,2,524,2,terraced,18,2007,4,individual_heating,management_in_trust,1103,287610
Daegu,5min~10min,0~5min,1,2,1,2,5,0,76,2,corridor,9,1985,3,individual_heating,self_management,587,69911
Daegu,5min~10min,0~5min,2,1,0,0,3,2,400,3,terraced,14,2015,7,individual_heating,management_in_trust,644,286725
no-subway-nearby,5min~10min,5min~10min,1,2,1,0,1,1,1321,2,terraced,22,2015,10,individual_heating,management_in_trust,644,299115
Kyungbuk-uni-hospital,0~5min,0~5min,1,1,1,0,5,3,930,4,terraced,8,2013,7,individual_heating,management_in_trust,910,350442
Myung-duk,15min~20min,0~5min,2,0,0,5,6,5,536,4,mixed,18,1993,4,individual_heating,management_in_trust,644,90265
Myung-duk,15min~20min,0~5min,2,0,0,5,6,5,536,4,mixed,16,1993,4,individual_heating,management_in_trust,644,84955
no-subway-nearby,no_bus_stop_nearby,0~5min,1,0,1,2,2,1,203,2,terraced,10,2009,5,individual_heating,management_in_trust,910,200522
Myung-duk,0~5min,0~5min,1,0,0,5,7,5,1174,4,terraced,9,2014,9,individual_heating,management_in_trust,914,338053
Myung-duk,0~5min,5min~10min,1,1,0,2,3,1,181,4,terraced,15,2006,4,individual_heating,management_in_trust,903,307079
Bangoge,5min~10min,0~5min,2,0,0,5,5,4,798,3,mixed,19,2005,7,individual_heating,management_in_trust,743,141592
Kyungbuk-uni-hospital,0~5min,0~5min,2,1,0,0,3,2,0,3,corridor,9,1978,3,individual_heating,self_management,903,140707
Kyungbuk-uni-hospital,0~5min,0~5min,1,1,1,0,5,3,930,4,terraced,2,2013,7,individual_heating,management_in_trust,910,305309
Bangoge,5min~10min,0~5min,2,0,0,5,5,4,798,3,mixed,4,2005,7,individual_heating,management_in_trust,743,232743
Myung-duk,15min~20min,0~5min,2,0,0,5,6,5,536,4,mixed,2,1993,4,individual_heating,management_in_trust,644,128318
Kyungbuk-uni-hospital,10min~15min,0~5min,1,1,1,1,5,1,0,3,terraced,5,1986,4,central_heating,management_in_trust,1377,184955
Kyungbuk-uni-hospital,10min~15min,0~5min,1,1,1,1,5,1,0,3,terraced,2,1986,4,central_heating,management_in_trust,1131,194690
Kyungbuk-uni-hospital,0~5min,0~5min,1,2,2,0,3,2,1270,3,terraced,36,2007,10,individual_heating,management_in_trust,1387,328318
Banwoldang,0~5min,0~5min,2,2,1,0,2,2,524,2,terraced,4,2007,4,individual_heating,management_in_trust,1419,265486
Bangoge,5min~10min,0~5min,2,0,0,5,5,4,798,3,mixed,17,2005,7,individual_heating,management_in_trust,914,267699
Banwoldang,0~5min,0~5min,2,2,1,0,2,2,524,2,terraced,20,2007,4,individual_heating,management_in_trust,1103,330088
Kyungbuk-uni-hospital,10min~15min,5min~10min,1,1,0,1,2,2,184,3,terraced,19,2006,5,individual_heating,management_in_trust,910,224778
Myung-duk,15min~20min,0~5min,2,0,0,5,6,5,536,4,mixed,17,1993,4,individual_heating,management_in_trust,644,85398
Kyungbuk-uni-hospital,0~5min,0~5min,1,2,2,0,3,2,1270,3,terraced,22,2007,10,individual_heating,management_in_trust,868,238938
Banwoldang,0~5min,0~5min,2,2,1,0,2,2,524,2,terraced,20,2007,4,individual_heating,management_in_trust,1394,295575
Myung-duk,15min~20min,0~5min,2,0,0,5,6,5,536,4,mixed,11,1993,4,individual_heating,management_in_trust,914,130088
Kyungbuk-uni-hospital,0~5min,0~5min,1,2,2,0,3,2,1270,3,terraced,13,2007,10,individual_heating,management_in_trust,868,225663
Myung-duk,10min~15min,5min~10min,1,1,1,5,7,5,0,4,corridor,11,1992,3,individual_heating,management_in_trust,576,57079
Myung-duk,0~5min,0~5min,1,0,0,5,7,5,1174,4,terraced,12,2014,9,individual_heating,management_in_trust,644,253982
Kyungbuk-uni-hospital,10min~15min,5min~10min,1,1,0,1,2,2,184,3,terraced,18,2006,5,individual_heating,management_in_trust,910,203539
Kyungbuk-uni-hospital,0~5min,0~5min,1,2,2,0,3,2,1270,3,terraced,3,2007,10,individual_heating,management_in_trust,1928,501769
Myung-duk,10min~15min,5min~10min,1,1,1,5,7,5,0,4,corridor,8,1992,3,individual_heating,management_in_trust,355,36283
Myung-duk,0~5min,0~5min,1,0,0,5,7,5,1174,4,terraced,8,2014,9,individual_heating,management_in_trust,644,287610
Myung-duk,0~5min,0~5min,1,0,0,5,7,5,1174,4,terraced,19,2014,9,individual_heating,management_in_trust,843,305309
Kyungbuk-uni-hospital,10min~15min,5min~10min,1,1,0,1,2,2,184,3,terraced,12,2006,5,individual_heating,management_in_trust,910,208849
Kyungbuk-uni-hospital,10min~15min,5min~10min,1,1,0,1,2,2,184,3,terraced,5,2006,5,individual_heating,management_in_trust,910,283185
Myung-duk,15min~20min,0~5min,2,0,0,5,6,5,536,4,mixed,1,1993,4,individual_heating,management_in_trust,1761,374336
Myung-duk,15min~20min,5min~10min,1,1,0,1,5,4,79,3,mixed,19,1992,3,individual_heating,self_management,914,158407
