SubwayStation,TimeToSubway,TimeToBusStop,N_FacilitiesNearBy(Hospital),N_FacilitiesNearBy(Dpartmentstore),N_FacilitiesNearBy(Park),N_FacilitiesNearBy(ETC),N_FacilitiesNearBy(PublicOffice),N_SchoolNearBy(University),N_Parkinglot(Basement),N_SchoolNearBy(Elementary),HallwayType,Floor,YearBuilt,N_FacilitiesInApt,HeatingType,AptManageType,Size(sqf),SalePrice
Kyungbuk-uni-hospital,0~5min,0~5min,1,2,2,0,3,2,1270,3,terraced,20,2007,10,individual_heating,management_in_trust,868,230088
Myung-duk,0~5min,0~5min,1,0,0,5,7,5,1174,4,terraced,8,2014,9,individual_heating,management_in_trust,910,326548
Kyungbuk-uni-hospital,0~5min,0~5min,1,2,2,0,3,2,1270,3,terraced,4,2007,10,individual_heating,management_in_trust,868,212389
no-subway-nearby,no_bus_stop_nearby,0~5min,1,0,1,2,2,1,203,2,terraced,18,2009,5,individual_heating,management_in_trust,1160,345132
Myung-duk,10min~15min,5min~10min,1,1,1,5,7,5,0,4,corridor,9,1992,3,individual_heating,management_in_trust,576,116814
Sin-nam,0~5min,0~5min,1,0,0,0,1,2,536,2,terraced,7,2006,5,individual_heating,management_in_trust,914,191150
Myung-duk,10min~15min,5min~10min,1,1,1,5,7,5,0,4,corridor,7,1992,3,individual_heating,management_in_trust,355,81415
Myung-duk,15min~20min,0~5min,2,0,0,5,6,5,536,4,mixed,13,1993,4,individual_heating,management_in_trust,644,100000
Kyungbuk-uni-hospital,0~5min,0~5min,1,2,2,0,3,2,1270,3,terraced,3,2007,10,individual_heating,management_in_trust,1643,285433
Myung-duk,15min~20min,0~5min,2,0,0,5,6,5,536,4,mixed,3,1993,4,individual_heating,management_in_trust,914,106194
Sin-nam,0~5min,0~5min,1,0,0,0,1,2,536,2,terraced,23,2006,5,individual_heating,management_in_trust,1743,365486
no-subway-nearby,5min~10min,10min~15min,1,0,0,1,4,1,218,0,corridor,13,2014,1,individual_heating,self_management,156,57522
Kyungbuk-uni-hospital,0~5min,0~5min,1,2,2,0,3,2,1270,3,terraced,21,2007,10,individual_heating,management_in_trust,1387,446902
Kyungbuk-uni-hospital,0~5min,0~5min,1,2,2,0,3,2,1270,3,terraced,23,2007,10,individual_heating,management_in_trust,868,265486
Kyungbuk-uni-hospital,0~5min,0~5min,2,1,0,0,3,2,0,3,corridor,10,1978,3,individual_heating,self_management,903,132743
Myung-duk,15min~20min,5min~10min,1,1,0,1,5,4,79,3,mixed,14,1992,3,individual_heating,self_management,1448,140707
Chil-sung-market,15min~20min,5min~10min,1,2,1,1,7,3,56,4,mixed,5,1997,5,individual_heating,management_in_trust,558,118584
Sin-nam,0~5min,0~5min,1,0,0,0,1,2,536,2,terraced,18,2006,5,individual_heating,management_in_trust,2056,407964
